GO ID	GO name	Genes in GO	Children of GO	Parents of GO
GO:0006591	ornithine metabolic process	argI,argF,	GO:0019547,GO:0006592,GO:0042450,GO:0019273,GO:0006593,GO:0033387,GO:0019555,	GO:0006520,
GO:0044238	primary metabolic process	hpf,argI,argF,raiA,	GO:0006099,GO:0019538,GO:0006520,GO:0005975,GO:0006139,GO:0006629,	GO:0008152,
GO:0000053	argininosuccinate metabolic process	argG,		GO:1901605,GO:0006575,
GO:0051262	protein tetramerization	argH,secB,aspA,purB,fumC,	GO:0051289,GO:0051290,	GO:0051259,
GO:1902023	L-arginine transport	argO,	GO:0043091,GO:1903400,	GO:0006865,
GO:0032297	negative regulation of DNA-dependent DNA replication initiation	seqA,argP,hda,	GO:1904513,GO:1903467,GO:0060910,	GO:0030174,GO:2000104,
GO:0006310	DNA recombination	insN-2,fimE,insL-1,insD-1,insH-7,insH-8,insA-7,rarA,insE-3,insC-2,insI-3,pinQ,insH-2,insH-5,intB,topB,intA,argR,yqgF,xerC,ruvA,rusA,recC,recO,insC-4,intZ,insK,torI,ruvC,intQ,recG,ruvB,rmuC,insH-6,pinE,fimB,insN-1,insL-3,pinR,insE-5,ydcM,xisE,recN,insA-4,insC-3,insA-5,insL-2,insA-2,ybcK,helD,intS,insD,yagL,intE,rayT,dinG,recR,insF-1,insC-5,intF,sbcC,priA,insB-4,insA-1,recA,insI-2,insG,insI-1,insH-10,insC-1,insB-2,ihfB,insC-6,recJ,insE-2,recB,intD,recQ,insE-1,recD,insH-1,xerD,insH-4,rdgC,insA-6,insH-3,insE-4,insH-11,recT,insA-3,insO-2,sbcD,insH-9,ihfA,ssb,intR,insB-1,	GO:0042150,GO:0000725,GO:0045458,GO:0016444,GO:0006313,GO:0006314,GO:0035822,GO:1990067,GO:0042152,GO:0006312,GO:0035825,	GO:0006259,
GO:0042150	plasmid recombination	pepA,argR,xerC,		GO:0006310,
GO:0051259	protein oligomerization	hscB,argR,	GO:0051291,GO:0070206,GO:0051262,GO:0051260,GO:0034214,	GO:0006461,
GO:2000143	negative regulation of DNA-templated transcription, initiation	paaX,dinJ,torI,mraZ,argR,deoR,	GO:0060633,	GO:0045892,GO:2000142,GO:0031333,
GO:0006418	tRNA aminoacylation for protein translation	tyrS,lysS,asnA,proS,pheS,lysU,serS,cysS,thrS,ileS,asnS,gltX,hisS,aspS,argS,glnS,valS,epmA,trpS,leuS,metG,	GO:0006433,GO:0006430,GO:0070127,GO:0006426,GO:0006434,GO:0006425,GO:0006422,GO:0006421,GO:0006423,GO:0006428,GO:0006435,GO:0006420,GO:0006432,GO:0006438,GO:0006429,GO:0006437,GO:0006436,GO:0006424,GO:0006427,GO:0006431,GO:0006419,	GO:0043039,
GO:0006420	arginyl-tRNA aminoacylation	glyS,argS,	GO:0070144,	GO:0006418,
GO:0042542	response to hydrogen peroxide	bsmA,yfcF,barA,tatD,ariR,gstA,hcp,yhjA,	GO:0070301,	GO:0010035,GO:0000302,
GO:0071229	cellular response to acid chemical	ycgZ,ariR,yhiM,envZ,	GO:0071231,GO:0071296,GO:0071446,GO:0071398,GO:0071395,GO:0071370,GO:1904881,GO:0071462,GO:0071215,GO:0071405,GO:0072760,GO:0071366,GO:0071230,GO:0071300,GO:1903413,GO:0071319,GO:0071414,GO:0071457,	GO:0001101,GO:0070887,
GO:0009103	lipopolysaccharide biosynthetic process	cpsB,wcaD,waaB,glf,galU,arnE,lpxM,waaY,eptC,eptB,wbbH,arnF,wcaK,waaQ,waaP,gmm,arnT,wcaF,wzxC,kdsA,waaC,glmU,wzzE,etk,waaU,htrL,eptA,rfbB,lpcA,wcaE,rfbC,wcaA,wzc,wbbI,waaF,lpxL,wzzB,fepE,kdsB,arnC,wbbJ,waaG,waaL,wbbK,wcaB,wcaM,arnA,lpxP,waaS,waaA,rfaE,arnD,rfbX,rffG,galF,rfaD,rfbD,wcaJ,waaO,rfe,lpxT,arnB,wcaL,gmhB,waaZ,rfbA,wcaC,waaJ,ugd,gutQ,kdsC,kdsD,cpsG,wcaI,		GO:0033692,GO:0008653,GO:1901137,GO:0008610,
GO:0033320	UDP-D-xylose biosynthetic process	arnA,		GO:0009226,GO:0033319,
GO:0046493	lipid A metabolic process	arnB,arnA,	GO:0009245,	GO:0006664,GO:1901269,GO:0006644,
GO:0036108	4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process	arnD,arnC,		GO:0008654,GO:0009247,GO:0016114,GO:0036107,
GO:0010041	response to iron(III) ion	arnT,basR,arnE,arnD,basS,arnF,	GO:0071283,	GO:0010039,
GO:0006493	protein O-linked glycosylation	arnT,	GO:0018258,GO:0018245,GO:0018242,GO:0018241,GO:0016266,GO:0035269,GO:0036066,GO:0018243,	GO:0006486,
GO:0097502	mannosylation	arnT,	GO:0035268,	GO:0070085,
GO:0009073	aromatic amino acid family biosynthetic process	aroD,aroG,aroF,tyrA,trpD,trpE,pheA,aroM,trpC,ydiB,trpL,aroC,aroE,aroK,aroH,tyrB,aroB,aroL,trpA,trpB,aroA,	GO:0000162,GO:0009095,	GO:0009072,GO:1901566,GO:0016053,GO:0019438,GO:1901362,
GO:0009423	chorismate biosynthetic process	aroD,aroG,ydiB,aroC,aroK,aroF,aroE,aroH,aroB,aroL,aroA,		GO:0046417,GO:0043650,
GO:0046279	3,4-dihydroxybenzoate biosynthetic process	aroD,		GO:0046278,GO:0072330,
GO:0019632	shikimate metabolic process	aroL,aroK,aroE,	GO:0019633,GO:0033587,	GO:0032787,
GO:0015823	phenylalanine transport	yddG,pheP,aroP,		GO:0046942,GO:0071705,
GO:0015827	tryptophan transport	yddG,mtr,aroP,	GO:1904556,	GO:0015801,
GO:0015828	tyrosine transport	yddG,aroP,	GO:0036232,	GO:0015801,
GO:0071806	protein transmembrane transport	csgG,csgE,aroP,	GO:0043952,GO:0061741,GO:0030254,GO:0030253,GO:0043953,GO:0065002,GO:0030255,GO:0098776,GO:0044315,GO:0033103,	GO:0055085,GO:0015031,
GO:0015699	antimonite transport	arsB,		GO:0015698,
GO:0015700	arsenite transport	arsB,		GO:0015698,
GO:0046685	response to arsenic-containing substance	arsB,arsR,arsC,yfjU,	GO:1903842,GO:0071243,GO:1903935,	GO:0042221,
GO:0015809	arginine transport	artJ,		GO:0015802,GO:0046942,
GO:1902765	L-arginine import into cell	artQ,artJ,artM,artP,	GO:0097638,	GO:0043091,GO:1902837,
GO:0009086	methionine biosynthetic process	cysH,metB,mmuP,metL,metC,malY,mtn,mmuM,metR,folD,usg,metF,metE,metH,asd,metA,metJ,	GO:0071265,	GO:0009067,GO:0008652,GO:0006555,
GO:0009088	threonine biosynthetic process	asd,thrB,thrC,thrA,metL,thrL,usg,		GO:0009067,GO:0008652,GO:0006566,
GO:0009090	homoserine biosynthetic process	asd,lysC,thrA,metL,		GO:0009092,GO:0008652,GO:0009070,
GO:0009097	isoleucine biosynthetic process	ilvI,ilvC,asd,ilvH,ridA,ilvM,ilvB,ilvE,ilvN,ilvA,usg,ilvD,	GO:1901705,	GO:0006549,GO:1901607,GO:0009082,
GO:0019877	diaminopimelate biosynthetic process	asd,dapD,dapA,dapE,dapB,		GO:0046451,GO:0043650,
GO:0071266	'de novo' L-methionine biosynthetic process	asd,	GO:0019283,GO:0019279,	GO:0071265,
GO:0051604	protein maturation	hypD,hycH,fdhE,ydeM,hypF,erpA,hybE,slyD,hybG,hybF,hypB,aslB,hypE,hypC,hypA,nfuA,torD,	GO:0097428,GO:0080120,GO:0038004,GO:0007225,GO:0007323,GO:0016485,GO:0022417,	GO:0019538,
GO:0090313	regulation of protein targeting to membrane	asmA,	GO:2001231,GO:0090315,GO:0090314,GO:1900483,	GO:1905475,GO:1903533,
GO:0006529	asparagine biosynthetic process	asnA,asnB,	GO:0070981,GO:0019266,GO:0019267,	GO:0009067,GO:0008652,GO:0006528,
GO:0070981	L-asparagine biosynthetic process	asnA,asnB,		GO:0006529,GO:0070982,
GO:0006541	glutamine metabolic process	puuD,glmS,trpD,yneH,pyrG,hisH,ybaS,carA,yafJ,guaA,purL,asnB,pabA,gltB,purF,	GO:0019802,GO:0006543,GO:0019713,GO:0006542,GO:0033053,GO:0019676,	GO:0009064,GO:0006520,
GO:0009063	cellular amino acid catabolic process	rspA,gudX,ycjG,yfaW,tdcG,dgoD,ygeX,asnB,	GO:0046948,GO:0009087,GO:0006565,GO:0006543,GO:0000955,GO:0006593,GO:0006548,GO:0006530,GO:0006574,GO:0034269,GO:0006562,GO:0006559,GO:0006524,GO:0006546,GO:0006533,GO:0019478,GO:0006552,GO:0006554,GO:0019448,GO:0009091,GO:0042217,GO:0009450,GO:0006567,GO:0019665,GO:0006527,	GO:0046395,GO:1901565,GO:0006520,
GO:0043200	response to amino acid	asnC,tsr,	GO:1905374,GO:1904473,GO:0010238,GO:0009961,GO:1901367,GO:0080053,GO:1905429,GO:1904373,GO:1901354,GO:0080052,GO:0097068,GO:1905242,GO:1904640,GO:0071230,GO:1903576,GO:1901345,GO:0043201,GO:1904844,	GO:1901700,GO:0010243,GO:0001101,
GO:0006421	asparaginyl-tRNA aminoacylation	asnS,	GO:0070145,	GO:0006418,
GO:0006531	aspartate metabolic process	aspA,	GO:0019355,GO:0019550,GO:0006532,GO:0019460,GO:0006533,	GO:0009066,GO:0043648,GO:0006520,
GO:0009094	L-phenylalanine biosynthetic process	tyrB,aspC,pheA,tyrA,	GO:0033585,GO:0033586,	GO:0008652,GO:0006558,GO:0009095,
GO:0033585	L-phenylalanine biosynthetic process from chorismate via phenylpyruvate	tyrB,aspC,		GO:0046417,GO:0009094,
GO:0006422	aspartyl-tRNA aminoacylation	aspS,	GO:0070146,	GO:0006418,
GO:0001101	response to acid chemical	speF,bsmA,ibaG,dctR,asr,	GO:0043200,GO:0009739,GO:1901556,GO:0010193,GO:0097532,GO:0070781,GO:1901425,GO:0051593,GO:1901427,GO:0033591,GO:0009415,GO:1903412,GO:0009753,GO:0071229,GO:1901593,GO:0080026,GO:0032526,GO:0009737,GO:0009751,GO:0033986,GO:0031427,GO:0080021,GO:1904880,GO:0070542,GO:1901422,	GO:0042221,
GO:0010043	response to zinc ion	fieF,zitB,efeO,cusF,asr,	GO:1990359,GO:0071294,	GO:1990267,GO:0010038,
GO:0010447	response to acidic pH	clcB,yqgB,ydeP,mgrB,asr,evgS,yceO,yagU,hchA,ybaS,ygiN,sodA,	GO:0071468,	GO:0009268,
GO:0019544	arginine catabolic process to glutamate	astE,astD,astB,astC,astA,		GO:0006536,GO:0006527,
GO:0019545	arginine catabolic process to succinate	astE,astD,astB,astC,astA,		GO:0006105,GO:0006527,
GO:0006593	ornithine catabolic process	astC,	GO:0019467,GO:0019466,	GO:0009063,GO:0006591,
GO:0046459	short-chain fatty acid metabolic process	ydiF,atoA,atoD,	GO:0019626,GO:0019605,GO:0043438,GO:0046361,GO:0051790,GO:0019541,	GO:0006631,
GO:0010967	regulation of polyamine biosynthetic process	atoC,	GO:1901304,	GO:0031326,GO:0080090,GO:0033238,
GO:0043086	negative regulation of catalytic activity	rpsT,recX,ivy,sgrT,ychF,ptsN,atoC,hipA,iscX,cbpM,mliC,rraB,hflK,pliG,ybcL,hflC,	GO:2000362,GO:0051354,GO:0051350,GO:0051352,GO:0051348,GO:0051346,GO:0052199,GO:1904174,GO:0031280,	GO:0044092,GO:0050790,
GO:0006754	ATP biosynthetic process	atpH,atpG,atpB,atpA,atpE,atpD,fliI,atpF,atpC,	GO:0015986,GO:0006756,	GO:0046034,GO:0046129,GO:0009206,GO:0009152,GO:0009168,
GO:0015986	ATP synthesis coupled proton transport	atpH,atpG,atpB,atpA,atpE,atpD,atpF,atpC,	GO:0042777,GO:0042776,	GO:0006754,GO:0015985,
GO:0015991	ATP hydrolysis coupled proton transport	atpD,atpA,atpE,		GO:0015988,GO:0090662,
GO:0042777	plasma membrane ATP synthesis coupled proton transport	atpH,atpG,atpB,atpD,atpF,atpA,atpC,		GO:0015986,
GO:0046034	ATP metabolic process	atpD,atpA,	GO:0006757,GO:0006754,GO:0006119,GO:0019660,GO:1990966,GO:0009777,	GO:0046128,GO:0009205,GO:0009150,GO:0009167,
GO:0009099	valine biosynthetic process	ilvL,ilvI,ilvC,avtA,ivbL,ilvH,ilvM,ilvB,ilvE,ilvN,ilvD,		GO:0008652,GO:0006573,
GO:0042852	L-alanine biosynthetic process	avtA,	GO:0019272,GO:0019273,	GO:0006523,GO:0042851,
GO:2000144	positive regulation of DNA-templated transcription, initiation	sdiA,csgD,baeR,mntR,	GO:0060261,	GO:0031334,GO:2000142,GO:0045893,
GO:2001023	regulation of response to drug	baeR,	GO:2001024,GO:2001025,GO:2001038,	GO:0048583,
GO:0007155	cell adhesion	yeeJ,ydeQ,ydeR,yadN,ycbU,yraH,ydeS,yadM,yfcQ,fimH,csgB,sfmH,yadK,ypjA,fimG,sfmF,yfcP,ycgI,yadL,bamA,yraK,yehA,ycgV,ycbV,fimI,sfmA,yqiI,znuA,fimA,ybgD,yfcR,fliD,elfA,ygiL,fimF,uspF,yejO,yadC,ybgO,yfcV,csgA,yehD,elfG,	GO:0061343,GO:0060519,GO:0031589,GO:0033627,GO:0003392,GO:0098602,GO:0098609,GO:0098740,	GO:0022610,
GO:0043165	Gram-negative-bacterium-type cell outer membrane assembly	lpxT,bamB,bamE,surA,skp,lptD,bamD,lptC,bamA,lptA,lptE,bamC,		GO:0071709,
GO:0051205	protein insertion into membrane	bamD,bamB,bamA,bamE,yidD,yidC,bamC,	GO:0071210,GO:0051204,GO:0098737,GO:0045048,GO:0032978,	GO:0090150,
GO:0006468	protein phosphorylation	yegI,ppsR,npr,barA,yedV,ubiB,ptsH,ptsP,rdoA,yeaG,dcuS,era,	GO:0023014,GO:0007258,GO:0007252,GO:0002030,GO:0070816,GO:1990803,GO:0018109,GO:0018217,GO:1902002,GO:0100002,GO:1990804,GO:0016572,GO:0018108,GO:0018106,GO:0018218,GO:0006975,GO:0007182,GO:0046777,GO:1990801,GO:0018107,GO:0031289,GO:0018105,GO:0060389,GO:0010998,GO:1990802,	GO:0016310,GO:0006464,
GO:0071310	cellular response to organic substance	dpiB,torS,barA,	GO:0071402,GO:0036245,GO:0035967,GO:0071407,GO:0097306,GO:0072721,GO:0071363,GO:0072736,GO:0071345,GO:0072729,GO:0071406,GO:0071396,GO:0071308,GO:0071417,GO:0071444,GO:0072756,GO:0097238,GO:0072703,GO:0072760,GO:0032870,GO:0072707,GO:0071322,GO:0097316,GO:0071311,GO:0036471,GO:0071227,	GO:0010033,GO:0070887,
GO:0035442	dipeptide transmembrane transport	dtpC,dtpA,mdtK,bcr,yeeO,ydeE,dtpB,		GO:0035672,GO:0042938,
GO:0006011	UDP-glucose metabolic process	galF,bcsB,bcsA,galU,	GO:0097359,GO:0006258,	GO:0009225,
GO:0030244	cellulose biosynthetic process	bcsB,bcsA,bcsC,dgcQ,bcsQ,	GO:0052324,GO:0090540,	GO:0051274,GO:0030243,
GO:0090540	bacterial cellulose biosynthetic process	yhjR,bcsA,bcsQ,		GO:0030244,
GO:0000272	polysaccharide catabolic process	chbG,bcsZ,chiA,yagH,	GO:0045493,GO:0033393,GO:0052786,GO:0093001,GO:0009251,GO:2000885,GO:0051682,GO:0044247,GO:0031222,GO:0052359,GO:0045490,GO:2000884,GO:0052787,GO:0044244,GO:2000895,	GO:0016052,GO:0009057,GO:0005976,
GO:0030245	cellulose catabolic process	bcsZ,	GO:1990488,GO:0052785,GO:0052340,	GO:0051275,GO:0030243,
GO:1902210	positive regulation of bacterial-type flagellum assembly	bdm,		GO:1902208,GO:1902117,GO:0031346,
GO:0061077	chaperone-mediated protein folding	yraI,ppiD,fkpA,ybbN,yadV,fimC,elfD,mnmE,secA,bepA,tig,yehC,dmsD,slyD,ycbF,fklB,spy,yfcS,fkpB,sfmC,ybgP,yqiH,yhcA,secB,	GO:0070389,GO:0051085,GO:1990507,GO:0051086,	GO:0006457,
GO:0019285	glycine betaine biosynthetic process from choline	betT,betB,betI,betA,		GO:0019695,GO:0031456,
GO:0015871	choline transport	betT,proW,emrE,		GO:0015696,
GO:0006826	iron ion transport	mntH,ftnB,fes,ftnA,bfr,	GO:1990388,GO:0048250,GO:0034755,GO:1903414,GO:0015684,GO:0097286,GO:0015682,	GO:0000041,
GO:0006879	cellular iron ion homeostasis	ftnB,fetB,fieF,dps,iscU,ftnA,ybiX,bfr,fetA,	GO:0033212,	GO:0055072,GO:0046916,
GO:0006880	intracellular sequestering of iron ion	ftnA,bfr,		GO:0097577,GO:0051651,
GO:0044724	single-organism carbohydrate catabolic process	bglA,	GO:0046365,GO:0019405,GO:0061678,GO:0005980,GO:0034232,GO:0042122,GO:0006096,GO:0009104,GO:0019579,GO:0031222,GO:0019391,GO:0046176,GO:0009313,GO:0019310,GO:0044276,	GO:0044723,GO:0044712,GO:0016052,
GO:0009251	glucan catabolic process	bglX,	GO:0030980,GO:0005980,GO:2000890,GO:1900726,GO:0051678,GO:0051275,GO:2000899,GO:0005983,GO:1901027,	GO:0000272,GO:0044042,
GO:0046688	response to copper ion	comR,cusB,cusA,cusS,cutC,yobA,cusR,cutA,bhsA,cusF,cusC,	GO:0071280,GO:1990169,	GO:1990267,GO:0010038,
GO:0009102	biotin biosynthetic process	bioF,fabG,birA,fabI,bioB,ynfK,mioC,bioC,bioH,bioD,bioA,		GO:0042364,GO:0006768,GO:0072330,
GO:0006464	cellular protein modification process	citC,msrA,hypD,hyaD,lipB,rimI,lplA,sixA,rimK,nrdI,hybD,birA,hybF,glnD,rimL,hycI,rimJ,hypA,	GO:0043687,GO:0018282,GO:0018143,GO:0018032,GO:0018249,GO:0001318,GO:0070084,GO:0006517,GO:0016570,GO:0018149,GO:0017006,GO:1990743,GO:0080058,GO:0018307,GO:0044601,GO:0019988,GO:0018065,GO:0008214,GO:0051725,GO:0008213,GO:0017013,GO:0018094,GO:0006468,GO:0006477,GO:0016255,GO:0018298,GO:0043543,GO:0044524,GO:0018215,GO:0018277,GO:0046944,GO:0018158,GO:0018079,GO:0017014,GO:0018126,GO:0036525,GO:0016598,GO:0018214,GO:0006486,GO:0018411,GO:0043686,GO:0030923,GO:0070647,GO:0006470,GO:0018184,GO:0031162,GO:0018175,GO:0018180,GO:0010731,GO:0018193,GO:0018342,GO:0018350,GO:0009305,GO:0035601,GO:0070930,GO:0031365,GO:0018322,GO:0032020,GO:0006497,GO:0051697,GO:0042040,GO:0030047,	GO:0044267,GO:0036211,
GO:0009305	protein biotinylation	birA,	GO:0071110,GO:0018054,	GO:0006464,
GO:0009637	response to blue light	bluF,	GO:0010244,GO:0055121,GO:0009906,GO:0071483,GO:0009638,	GO:0009416,
GO:0009785	blue light signaling pathway	bluF,		GO:0030522,GO:0071483,
GO:0018298	protein-chromophore linkage	phr,bluF,	GO:0051361,GO:0018273,GO:0051360,GO:0019729,GO:0018097,GO:0018252,GO:0051359,GO:0019931,GO:0051358,GO:0019922,GO:0051362,GO:0051357,	GO:0006464,
GO:0050896	response to stimulus	fecR,dosP,rcsA,bluF,	GO:0051716,GO:0014874,GO:0006950,GO:0043627,GO:0009628,GO:0072376,GO:0009607,GO:0009605,GO:0014854,GO:0014823,GO:0042221,GO:0043500,GO:0051606,GO:0051775,GO:0009719,GO:0006955,	GO:0008150,
GO:0071286	cellular response to magnesium ion	mgrB,borD,		GO:0071248,GO:0032026,
GO:0015803	branched-chain amino acid transport	livF,livG,livM,brnQ,livJ,livH,	GO:1903785,GO:0015818,GO:0060356,GO:0090468,	GO:0006865,
GO:0015818	isoleucine transport	brnQ,	GO:0090476,GO:1903714,	GO:0015804,GO:0015803,
GO:0015820	leucine transport	livK,brnQ,yjeH,leuE,		GO:0046942,GO:0015804,
GO:0015829	valine transport	ygaH,ygaZ,brnQ,		GO:0046942,GO:0015804,
GO:0098655	cation transmembrane transport	kgtP,yidE,brnQ,melB,kefB,fieF,nhaA,zntA,nhaB,gntU,kefC,chaA,yihO,ybjL,tehA,livK,trkA,ybaL,leuE,zitB,livF,mgtA,yfbS,	GO:0072488,GO:0098662,	GO:0034220,GO:0006812,
GO:1903785	L-valine transmembrane transport	ygaH,ygaZ,brnQ,yjeH,		GO:1902475,GO:0015803,
GO:1900190	regulation of single-species biofilm formation	yfjR,ycfJ,bssS,csgD,bssR,pdeF,	GO:1900192,GO:1900191,GO:1900187,GO:1900228,GO:1900231,	GO:0050794,GO:0043900,
GO:0015889	cobalamin transport	btuE,btuB,btuF,btuC,btuD,cobT,tonB,		GO:0071702,GO:0051180,GO:0071705,
GO:0035461	vitamin transmembrane transport	btuC,btuD,cobT,	GO:1903090,GO:0015887,GO:1903092,GO:0071934,GO:0071939,GO:1903091,	GO:0055085,GO:0051180,
GO:0006824	cobalt ion transport	btuE,zntA,mntH,corA,rcnA,		GO:0000041,GO:0072511,
GO:0006779	porphyrin-containing compound biosynthetic process	hemN,hemA,hemG,cysG,btuR,hemD,hemH,hemF,cobU,hemY,gltX,yggW,hemE,hemC,hemX,hemB,hemL,	GO:0006781,GO:0006782,GO:0015995,GO:0006783,	GO:0051188,GO:0006778,GO:0033014,
GO:0009236	cobalamin biosynthetic process	cobU,cobS,cysG,btuR,eutT,cobC,hemX,cobT,	GO:0019251,GO:0019250,	GO:0042364,GO:0033014,GO:0009235,
GO:0019250	aerobic cobalamin biosynthetic process	btuR,		GO:0009236,
GO:0006554	lysine catabolic process	ldcC,cadA,	GO:0019476,GO:0019477,	GO:0006553,GO:0009068,GO:0009063,
GO:0015839	cadaverine transport	cadB,		GO:0071702,GO:0071705,
GO:1903401	L-lysine transmembrane transport	cadB,lysO,	GO:1904916,GO:0097639,GO:0089707,GO:0090517,	GO:1902475,GO:1902022,
GO:0009437	carnitine metabolic process	fixB,fixC,caiA,caiF,caiC,caiE,fixA,caiB,caiD,caiT,	GO:0045329,GO:0042413,GO:0019254,	GO:0006577,
GO:0042413	carnitine catabolic process	caiB,caiD,		GO:0009437,GO:0006579,
GO:0015879	carnitine transport	caiT,	GO:1902603,GO:1900749,	GO:0015838,
GO:1900751	4-(trimethylammonio)butanoate transport	caiT,		GO:0015838,
GO:1902270	(R)-carnitine transmembrane transport	caiT,		GO:1902603,GO:1900749,
GO:1902603	carnitine transmembrane transport	caiT,	GO:1902270,	GO:0055085,GO:0015879,
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	sgbH,pyrE,pyrI,pyrC,pyrB,pyrD,carA,ulaD,pyrF,ygeW,		GO:0019856,
GO:0006221	pyrimidine nucleotide biosynthetic process	pyrL,pyrH,pyrE,pyrI,pyrC,pyrB,pyrD,pyrG,carA,carB,pyrF,	GO:0009221,GO:0009220,GO:0032262,	GO:0072528,GO:0009165,GO:0006220,
GO:0044205	'de novo' UMP biosynthetic process	pyrE,carB,carA,pyrF,pyrC,pyrB,pyrD,		GO:0006222,
GO:0006807	nitrogen compound metabolic process	puuA,gabD,yafV,ygeA,murI,gltD,lnt,hcp,nrfB,glnA,nrfA,glnD,sad,yobB,carB,yjjI,gltB,	GO:0071941,GO:0018960,GO:0018937,GO:0018954,GO:0018887,GO:0019326,GO:0097164,GO:0019329,GO:2001057,GO:0034641,GO:0018952,GO:1901150,GO:0019330,GO:0018916,GO:1901564,	GO:0008152,
GO:0019856	pyrimidine nucleobase biosynthetic process	pyrL,carB,pyrC,	GO:0046107,GO:0043100,GO:0006207,GO:0046106,GO:0046089,	GO:0072528,GO:0046112,GO:0006206,
GO:0043571	maintenance of CRISPR repeat elements	cas1,cas2,		GO:0043570,
GO:0090305	nucleic acid phosphodiester bond hydrolysis	yafO,cas3,xseA,xseB,yafQ,cas1,rng,mutM,mutH,rpsP,rnd,yqgF,rusA,recC,cas2,smrA,exoX,ycjD,sbcB,endA,ruvC,mrr,hicA,yhbQ,polA,higB,recE,ybcC,rnhB,nei,rep,symE,nfo,vsr,relE,yhhZ,holB,polB,sbcC,uvrA,yciV,casE,mqsR,ycfH,hsdR,rnt,yajD,dnaQ,xthA,ralR,recJ,rnlA,mcrB,recB,yraN,recD,yjjV,chpB,orn,nfi,rnpA,cho,holD,rph,mcrA,sbcD,dnaN,uvrB,ghoS,ygdG,mazF,uvrC,rne,	GO:1990731,GO:0090501,GO:0031087,GO:0042138,GO:0000738,GO:0000737,GO:0019071,GO:0033683,GO:0000728,	GO:0090304,
GO:0000737	DNA catabolic process, endonucleolytic	cas3,	GO:0006309,	GO:0006308,GO:0090305,
GO:0000738	DNA catabolic process, exonucleolytic	sbcB,cas3,tatD,		GO:0006308,GO:0090305,
GO:0010501	RNA secondary structure unwinding	rhlB,cas3,rhlE,srmB,deaD,dbpA,radD,recG,		GO:0016070,
GO:0006396	RNA processing	truB,trmJ,cca,pnp,rnc,rapZ,rlmD,trmH,yjtD,rtcB,rlmB,hrpB,rng,trmL,rnpA,yfiF,casE,pcnB,rtcA,trmA,rlmC,rnt,rne,	GO:0034470,GO:0031123,GO:0006397,GO:0000963,GO:0036260,GO:0000966,GO:0000379,GO:0031050,GO:0036404,GO:0008380,GO:0031425,	GO:0016070,
GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	yoeB,yafO,symE,ydiZ,rnhA,rnc,rnlA,relE,yafQ,hicA,chpB,rna,higB,rnpA,casE,mqsR,ghoS,mazF,rne,rnhB,	GO:1905267,GO:0043145,GO:0034414,GO:0000478,	GO:0090501,
GO:0031342	negative regulation of cell killing	cbeA,	GO:0051711,GO:0001911,GO:1903660,	GO:0048519,GO:0031341,
GO:0051495	positive regulation of cytoskeleton organization	cbeA,	GO:0030844,GO:0030836,GO:1905306,GO:1904901,GO:1903127,GO:0046607,GO:0010696,GO:0060298,GO:0030841,GO:2000433,GO:0030838,GO:2000251,GO:1902846,GO:1904687,GO:0031112,GO:0032233,GO:0051127,	GO:0051493,GO:0010638,
GO:0045883	positive regulation of sulfur utilization	cbl,		GO:0006792,GO:0048518,
GO:0006457	protein folding	yraI,groL,hscA,fkpA,trxA,elfD,dsbA,hscB,grpE,yidC,htpG,yfcS,clpX,surA,dsbG,cbpA,hslO,dnaJ,ppiA,torD,dnaK,degP,groS,dsbC,ppiB,skp,tig,yehC,slyD,fklB,fliT,fkpB,sfmC,ybgP,trxC,secB,	GO:0006458,GO:0034975,GO:0022417,GO:0042026,GO:0007023,GO:0061077,	GO:0009987,
GO:0030153	bacteriocin immunity	cbrA,cbrC,		GO:0009404,
GO:0012501	programmed cell death	ibsB,ibsA,ldrB,ibsD,cbtA,shoB,ibsC,ibsE,	GO:0070269,GO:0034050,GO:0070268,GO:0006915,GO:0097468,GO:0010623,GO:0097300,GO:0097707,GO:0001896,GO:0048102,	GO:0008219,
GO:0001680	tRNA 3'-terminal CCA addition	cca,		GO:0042780,
GO:0008033	tRNA processing	yfiC,tgt,trmJ,cca,rnc,tsaD,mnmE,truC,ttcA,pheT,iscS,mnmG,tusE,tusA,tilS,miaA,trmL,tsaE,tusB,mnmA,trmA,rnd,rnt,truA,tadA,truB,dusB,tsaC,trmD,ygfZ,tmcA,trmH,tusC,miaB,dusC,mnmC,queG,tusD,truD,trmO,rlmN,rnpA,dusA,rph,trmI,rluA,cmoA,rbn,tsaB,rne,	GO:0042780,GO:0006388,GO:0006400,GO:0001682,GO:0090646,	GO:0034470,GO:0006399,
GO:0015886	heme transport	nrfE,dppF,ccmF,dppD,ccmC,ccmE,ccmA,ccmB,ccmD,	GO:0097037,GO:0035351,	GO:1901678,GO:0071702,GO:0071705,GO:0051181,
GO:0017004	cytochrome complex assembly	ypjD,nrfE,sdhC,ccmH,ccmG,sdhD,dsbD,ccmF,ccmC,ccmE,ccmA,ccmB,ccmD,	GO:0017062,GO:0046805,GO:0018186,GO:0018063,GO:0018174,GO:0008535,GO:0010190,	GO:0043623,
